companyid, companyname, companyjob, companydetail, companywork, companylocation, companydeadline, companyregister
0,(주)신한은행,2021년 디지털/ICT 수시채용 석박사 특별전형,"

서버·네트워크·보안웹개발 외            
",정규직,서울 중구,~ 08/16(월),(6일 전 등록)
1,(주)에이디티캡스,[ADT캡스 infosec] 정보보안 개발직군 채용 연계형 인턴 모집,"

웹마스터·QA·테스터서버·네트워크·보안 외            
",인턴직,경기 성남시 분당구,~ 08/16(월),(6일 전 등록)
2,기술좋은직업전문학교,[국비무료](사물인터넷)IoT기반Java프로그래밍 교육생 모집,"

응용프로그램개발하드웨어·소프트웨어 외            
",교육생,부산 북구,~ 08/25(수),(77일 전 등록)
3,(재)울산정보산업진흥원,울산정보산업진흥원 6차 직원 채용 공고,"

기획·전략·경영사무보조·문서작성 외            
",정규직,울산 남구,~ 08/16(월),(10일 전 등록)
4,(주)이젠아카데미,[국비지원 취업]빅데이터·풀스택·웹앱개발/출판/영상/건축,"

출판·편집디자인전시·공간디자인 외            
",교육생,서울전체,~ 08/31(화),(168일 전 등록)
5,현대무벡스(주),현대무벡스㈜ 부문별 경력사원 상시 모집,"

총무·법무·사무사무보조·문서작성 외            
",정규직 · 계약직,서울 종로구,~ 12/31(금),(328일 전 등록)
6,한국기술교육직업전문학교,[전액국비] 4차산업 IT전문인력 취업연계교육,"

웹마스터·QA·테스터서버·네트워크·보안 외            
",교육생,부산 동래구,~ 02/16(수),(123일 전 등록)
7,지식시스템㈜ KSTEC Inc.,[KSTEC] RPA 시스템 개발 신입 및 경력사원 채용,"

웹개발응용프로그램개발 외            
",정규직 · 인턴직,경기 성남시 분당구,~ 08/31(화),(3일 전 등록)
8,지식시스템㈜ KSTEC Inc.,[KSTEC] 통계/Analytics 신입 및 경력사원 채용,"

웹개발응용프로그램개발 외            
",정규직 · 인턴직,경기 성남시 분당구,~ 08/31(화),(24일 전 등록)
9,(주)플렉싱크,(주)플렉싱크 데이터 애널리스트 모집(제주 지역),"

인공지능(AI)·빅데이터 
",정규직,제주 제주시,~ 08/31(화),(28일 전 등록)
10,(주)유림정보시스템,데이터 예측 AI / 빅데이터 개발자 채용공고,"

응용프로그램개발데이터베이스·DBA 외            
",정규직,서울 강남구,~ 09/03(금),(35일 전 등록)
11,(주)경일게임아카데미,정부무료 게임회사 취업연수생 모집,"

서버·네트워크·보안웹기획·PM 외            
",교육생,서울 강동구,~ 08/15(일),(263일 전 등록)
12,한밭대학교산학협력단,[전액국비]빅데이터 분석/IoT개발/인공지능 취업연계 교육생 모집,"

서버·네트워크·보안시스템개발 외            
",교육생,대전전체,오늘마감(55일 전 등록)),(55일 전 등록)
13,(주)지이씨엘코리아,"[MD, 웹디자인, JAVA, PHP, Python, SEO, 유튜브, DBA] 채용","

해외영업·무역영업상품기획·MD 외            
",정규직 · 계약직,서울 금천구,~ 08/20(금),(19일 전 등록)
14,아이비케이투자증권(주),디지털전략부/투자분석부 경력사원 모집,"

기획·전략·경영마케팅·광고·분석 외            
",계약직,서울 영등포구,~ 08/13(금),(4일 전 등록)
15,인큐솔루션(주),[신입/경력]HW/SW 엔지니어 채용,"

기술영업반도체·디스플레이·LCD 외            
",정규직,서울 서초구,~ 08/20(금),(3일 전 등록)
16,(주)피플앤드테크놀러지,플랫폼 개발실 - IoT 빅데이터 플랫폼 개발,"

서버·네트워크·보안웹개발 외            
",정규직 · 프리랜서,서울 강남구,~ 09/23(목),(16일 전 등록)
17,(주)더원테크,DB 설계 및 SQL 개발 경험자 모십니다.,"

응용프로그램개발데이터베이스·DBA 외            
",정규직 · 계약직,서울 금천구,~ 09/08(수),(19시간 전 등록)
18,(주)휴먼아이씨티,"2021년 개발자, 디자이너 각 부문 채용","

그래픽디자인·CG웹마스터·QA·테스터 외            
",정규직,서울 강남구,~ 08/18(수),(21일 전 등록)
19,라인컴퓨터아트학원,[경기/안산/시흥/인천] 국비지원 교육연수생 모집(게임/웹디자인/인테리어/빅데이터 응용SW/웹프로그래머),"

그래픽디자인·CG캐릭터·만화·애니 외            
",교육생,경기 안산시 단원구,~ 08/31(화),(40일 전 등록)
20,(주)베라버스,R&amp;D Center 연구원 인재채용공고,"

약사생산관리·품질관리 외            
",정규직,서울 강남구,~ 08/31(화),(5일 전 등록)
21,(주)로지올,[생각대로]배달플랫폼 본사 개발자/영업(B2B)/CS/기획/재무/법무,"

기획·전략·경영총무·법무·사무 외            
",정규직 · 계약직,서울 서초구,~ 09/05(일),(5일 전 등록)
22,(주)한국정보공작소,[기업부설연구소] AI 기반 비전시스템 개발 분야 정규직 모집,"

인공지능(AI)·빅데이터 
",정규직,서울 금천구,~ 09/10(금),(29일 전 등록)
23,(주)오픈메이트,[오픈메이트] 신입/경력 데이터 분석가 채용,"

인공지능(AI)·빅데이터경영분석·컨설턴트 외            
",정규직 · 병역특례,서울 서대문구,~ 08/28(토),(42일 전 등록)
24,(주)오픈메이트,[오픈메이트] 신입/경력 채용 공고,"

웹개발컨텐츠·사이트운영 외            
",정규직 · 계약직,서울 서대문구,~ 08/28(토),(42일 전 등록)
25,빅테크플러스(주),[정규직] 프롭테크 빅데이터 분석 담당(Data Scientist) 모집,"

데이터베이스·DBA인공지능(AI)·빅데이터 
",정규직,서울 강남구,~ 08/16(월),(53일 전 등록)
26,(주)인포유앤컴퍼니,Data Engineer 모집공고(신입/경력),"

데이터베이스·DBA인공지능(AI)·빅데이터 
",정규직,서울 성동구,~ 08/31(화),(31일 전 등록)
27,비코어(주),빅데이터/분석 플랫폼 개발운영 공고(경력),"

인공지능(AI)·빅데이터 
",정규직,서울 중구,~ 09/11(토),(28일 전 등록)
28,(주)리얼메이커,응용 소프트웨어 개발 ( 연구 / Unreal / AR / SLAM / VPS / App,"

응용프로그램개발통신·모바일 외            
",정규직,부산 해운대구,~ 08/31(화),(21일 전 등록)
29,(주)에이아이더뉴트리진,인공지능 알고리즘 개발 및 데이터구축 인력 모집,"

기획·전략·경영바이오·제약·식품 외            
",정규직 · 계약직,경기 성남시 수정구,~ 08/17(화),(5일 전 등록)
30,대한상공회의소 충남인력개발원,[국비무료]전기공사실무(중장년)/PLC자동화실무/드론 교육생,"

전기·전자·제어반도체·디스플레이·LCD 외            
",교육생,충남전체,~ 09/07(화),(25일 전 등록)
31,(주)버즈니,[업계1위/신입초봉5천] 버즈니 Tech직군 경력직 하반기 채용,"

웹개발응용프로그램개발 외            
",정규직,서울 관악구,~ 08/22(일),(17일 전 등록)
32,몽타(주),MES 및 빅데이터 정규직 채용(신입사원),"

ERP·시스템분석·설계하드웨어·소프트웨어 외            
",정규직,서울 동작구,~ 08/31(화),(3일 전 등록)
33,(주)유진로봇,2021년 신입/경력사원 공개채용,"

상품기획·MD전기·전자·제어 외            
",정규직,인천 연수구,~ 08/22(일),(19일 전 등록)
34,폴스타헬스케어(주),폴스타헬스케어 주식회사 개발분야 연구 인재 채용,"

웹개발응용프로그램개발 외            
",정규직,서울 서초구,~ 08/13(금),(4일 전 등록)
35,(주)모나미,IT기획팀(운영지원) 외 부문별 모집,"

상품기획·MD그래픽디자인·CG 외            
",정규직,경기 용인시 수지구,~ 08/15(일),(3일 전 등록)
36,(주)이머니,2021년 각 부문별 신입/경력 채용,"

웹마스터·QA·테스터서버·네트워크·보안 외            
",정규직,서울 마포구,~ 08/22(일),(16시간 전 등록)
37,콩테크(주),각 분야별 신입/경력 정규직 채용,"

기획·전략·경영홍보·PR·사보 외            
",정규직,경기 성남시,~ 08/16(월),(7일 전 등록)
38,세메스(주),2021년 8월 경력사원 채용,"

기획·전략·경영총무·법무·사무 외            
",정규직,충남 천안시,~ 08/19(목),(4일 전 등록)
39,디아이티(주),"3D SW개발,비전SW개발,기구설계 경력직 채용","

기계·기계설비반도체·디스플레이·LCD 외            
",정규직,경기 수원시 영통구,~ 08/19(목),(20일 전 등록)
40,(주)온누리아이코리아,[브랜드 스타트업] 온누리아이코리아 부문별 채용,"

해외영업·무역영업상품기획·MD 외            
",정규직,서울 강남구,~ 08/15(일),(23시간 전 등록)
41,(사)부산산학융합원,부산지역 재취업자를 위한 국비 교육생 모집,"

기획·전략·경영기계·기계설비 외            
",교육생,부산 강서구,~ 09/20(월),(5일 전 등록)
42,경보전기(주),Windows 어플리케이션 개발자 채용,"

웹개발응용프로그램개발 외            
",정규직,서울 성동구,~ 08/31(화),(20시간 전 등록)
43,(주)엔씨아이티에스,[NCSOFT자회사] ㈜엔씨아이티에스 각 부문 채용,"

서버·네트워크·보안게임·Game 외            
",정규직 · 계약직,경기 성남시 분당구,~ 08/12(목),(11일 전 등록)
44,(학)창신대학교산학협력단,[국비무료] 사물인터넷[IoT]과 로봇운영자 과정 교육생 모집,"

전기·전자·제어반도체·디스플레이·LCD 외            
",교육생,경남전체,~ 08/16(월),(7일 전 등록)
45,(주)메일플러그,2021 메일플러그 신입 및 경력사원 공개채용,"

기획·전략·경영마케팅·광고·분석 외            
",정규직,서울 강남구,오늘마감(19일 전 등록)),(19일 전 등록)
46,(주)맨파워그룹코리아,[잠실/월195/전환가능] 롯데ON 시스템운영팀 채용,"

경리·출납·결산IT·솔루션영업 외            
",계약직 · 파견직,서울 송파구,~ 08/12(목),(18시간 전 등록)
47,(주)인터엑스,[제조AI/빅데이터 전문기업] ㈜인터엑스 기술영업/컨설팅/마케팅,"

해외영업·무역영업기획·전략·경영 외            
",정규직,서울 금천구,~ 08/23(월),(20시간 전 등록)
48,유니셈(주),2021년도 각 부문 신입사원 모집,"

구매·자재·재고총무·법무·사무 외            
",정규직,경기 화성시,~ 08/18(수),(1일 전 등록)
49,한국쓰리엠(주),각 부문 신입/경력 모집 안내,"

물류·유통·운송해외영업·무역영업 외            
",정규직,경기 화성시,상시채용(14일 전 등록)),(14일 전 등록)
50,유니셈(주),2021년도 각 부문 신입사원 모집,"

구매·자재·재고총무·법무·사무 외            
",정규직,경기 화성시,~ 08/18(수),(1일 전 등록)
51,한국쓰리엠(주),각 부문 신입/경력 모집 안내,"

물류·유통·운송해외영업·무역영업 외            
",정규직,경기 화성시,상시채용(14일 전 등록)),(14일 전 등록)
52,대한상공회의소서울기술교육센터,"[모집분야] 시스템반도체, 자바, IOT, 클라우드, 인공지능 교육과정 모집","

서버·네트워크·보안웹개발 외            
",교육생,서울 강서구,~ 08/18(수),(38일 전 등록)
53,(주)안랩,2021 안랩 자소서 Free 신입채용,"

웹마스터·QA·테스터서버·네트워크·보안 외            
",정규직 · 인턴직,경기 성남시 분당구,~ 08/22(일),(3일 전 등록)
54,한국표준협회,[무료교육] 인공지능(AI) / 블록체인 교육생 모집 (대전),"

서버·네트워크·보안웹개발 외            
",교육생,대전전체,~ 09/26(일),(21시간 전 등록)
55,(주)아시아경제,빅데이터 기반 디지털 산업융합 서비스 개발자 양성과정 교육생 모집,"

응용프로그램개발데이터베이스·DBA 외            
",교육생,전국,~ 08/22(일),(4일 전 등록)
56,(주)카카오페이,2021년 기술/프로덕트/사업/디자인/스탭 채용,"

기획·전략·경영회계·재무·세무·IR 외            
",정규직,경기 성남시 분당구,~ 08/29(일),(15일 전 등록)
57,(주)메쉬코리아,2021년 부문별 경력/신입 채용,"

상품기획·MD총무·법무·사무 외            
",정규직,서울 강남구,~ 08/17(화),(7일 전 등록)
58,(주)비바리퍼블리카,토스증권 적극 채용,"

총무·법무·사무회계·재무·세무·IR 외            
",정규직,서울 강남구,~ 08/31(화),(19일 전 등록)
59,(주)더에스엠씨그룹,[방구석연구소] DevOps·안드로이드/iOS앱·PHP 개발자 경력 채용,"

서버·네트워크·보안웹개발 외            
",정규직,서울 강남구,~ 08/31(화),(7일 전 등록)
60,(재)전주정보문화산업진흥원,인공지능/블록체인 전문인력양성 교육생 모집,"

웹마스터·QA·테스터웹개발 외            
",교육생,전북 전주시,~ 08/26(목),(5일 전 등록)
61,에이치디씨아이콘트롤스(주),2021년 하반기 경력사원 채용 공고,"

기획·전략·경영IT·솔루션영업 외            
",정규직,경기 성남시,~ 09/24(금),(4일 전 등록)
62,베스핀글로벌(주),[베스핀글로벌 자회사] Bespin Global Tech Center 채용연계형 교육훈련생 2차모집 (부산),"

웹마스터·QA·테스터서버·네트워크·보안 외            
",교육생,부산전체,~ 08/30(월),(7일 전 등록)
63,스마트인재개발원(사),빅데이터 분석서비스 개발자과정 교육생 모집,"

서버·네트워크·보안웹개발 외            
",교육생,광주 남구,~ 08/28(토),(75일 전 등록)
