studynum,studytitle,studycontent,studywriter,studylink
1,Spring boot 백엔드 프로젝트 진행하실 분 모집합니다.,스터디 모집글을 아래 양식을 참고해 작성해주세요. 꼼꼼히 작성하면 멋진 스터디 팀원을 만나실 수 있을거예요.   개발 스터디 모집 내용 예시  스터디 주제 : 웹 개발  ,문윤지,/studies/275292  
2,spring boot 프로젝트 하실분 구합니다, 주제 : spring boot 프로젝트 팀원 구합니다.스터디 목표 : 6개월내로 아이디어스 같은 사이트 제작(포폴용)예상 스터디 일정(횟수) : 6개월정도  , yeajinny,/studies/275026  
3,vue.js 스터디 모집합니다.(수정),스터디 모집글을 아래 양식을 참고해 작성해주세요. 꼼꼼히 작성하면 멋진 스터디 팀원을 만나실 수 있을거예요.  개발 스터디 모집 내용 예시  스터디 주제 : 열정 열정...,박윤희,/studies/271915  
4,백엔드 프로젝트 진행하실 한 분 모집합니다.( Java spring), 스터디 모집글을 아래 양식을 참고해 작성해주세요. 꼼꼼히 작성하면 멋진 스터디 팀원을 만나실 수 있을거예요.  개발 스터디 모집 내용 예시   스터디 주제 : 클론코딩 ..., ENTRY ,/studies/271511
5,c++을 활용한 코딩테스트 스터디 ,스터디 모집글을 아래 양식을 참고해 작성해주세요. 꼼꼼히 작성하면 멋진 스터디 팀원을 만나실 수 있을거예요.   개발 스터디 모집 내용 예시    스터디 주제 : c++을 ... ,돌섬,/studies/270990     
6,구루미 캠스터디 모집합니다.,스터디 모집글을 아래 양식을 참고해 작성해주세요. 꼼꼼히 작성하면 멋진 스터디 팀원을 만나실 수 있을거예요.개발 스터디 모집 내용 예시스터디 주제 : 취업준비를...,정수 ,/studies/269656
7,[대전] 웹디자인 UXUI 개발 스터디 모집 , 스터디 주제 : 웹디자인 UXUI 퍼블리셔 포트폴리오 스터디 원을 모집합니다.,develop.cf20,/studies/269508
8,[모던 자바스크립트 딥다이브 책] ,안녕하세요.   모던 자바스크립트 딥다이브 책으로  공부  하실 분을 모집하고 있습니다.교재 :  모던  자바스크립트 deep  d... ,김민재,/studies/269029
9,아이폰 앱개발 스터디, 스터디 모집글을 아래 양식을 참고해 작성해주세요. 꼼꼼히 작성하면 멋진 스터디 팀원을 만나실 수 있을거예요. 개발 스터디 모집 내용 예시  스터디 주제 : 아이폰 앱...    ,KyungDong Kim,/studies/267622
10,프로그래밍 자율학습 스터디 모집! (게더타운 활용),개발 스터디 모집 내용 예시    스터디 주제 : 프로그래밍 관련 자율학습 및 정보공유 스터디 목표 : 개인의 목표를 이루기 위한 러닝메이트 및 정보 공유 예상 스터디 일정...   ,은광,/studies/267378
11,파이썬 코딩의 기술 - 파이썬 언어 중급 스터디 , 주제 :     파이썬 코딩의 기술     책 스터디  ( 책 링크 :  http://www.kyobobook.co.kr/product/detailViewKor.laf?ejkGb=KO... , ltraraptor,/studies/265910
12,[대전]   웹다지인 스터디원 모집 (웹/앱 제작),개발 스터디 모집 내용 예시    스터디 주제 : 웹디자인을 모집합니다!  스터디 목표 : 웹사이트 제작 & 앱개발에 필요한 디자인팀 구성  예상 스터디 일정(횟수) :... develop.cf20 · 10일 전 ,develop.cf20,/studies/265331
13,같이 c++ 배우실분 구해요~,스터디 모집글을 아래 양식을 참고해 작성해주세요. 꼼꼼히 작성하면 멋진 스터디 팀원을 만나실 수 있을거예요. 개발 스터디 모집 내용 예시 스터디 주제 : c++ 스...,rcc24,/studies/265049
14,데이터 엔지니어 같이 준비하실 분 !!,스터디 모집글을 아래 양식을 참고해 작성해주세요. 꼼꼼히 작성하면 멋진 스터디 팀원을 만나실 수 있을거예요. 개발 스터디 모집 내용 예시    스터디 주제 : 데이터 엔...,지민,/studies/262624
15,온라인 스터디를 진행할 팀원들을 모집합니다., (토비스프링 JavaScript/React)  sDos2107 개발자 스터디 멤버를 모집합니다. 200b 저희 스터디는 디스코드의 화면공유와 음성채팅 기능을 활용한 온라인 강의형식으로 진행될 예정입니다.  흥미와 열정이 있으신...,이원준,/studies/260841
16,shortId가 사라진다고 하여 NanoId 사용,정보공유차 올립니다.  shortId 설치하려하니 npm 사이트에 아래와 같은 문구에 Nano ID를 추천해서 nanoId를 사용하였습니다.   혹시라도 short...         ',blossom0417,/studies/260582      
17,Study-FLAT   MOGACO(모각코) 스터디 인원을 모집하고 있어요!,스터디 모집글을 아래 양식을 참고해 작성해주세요. 꼼꼼히 작성하면 멋진 스터디 팀원을 만나실 수 있을거예요.개발 스터디 모집 내용 예시    스터디 주제 : 온라인 모...,비모,/studies/259100
18,javscript typescript로 DDD 구현을 해보실 분 구합니다. , 스터디 모집글을 아래 양식을 참고해 작성해주세요. 꼼꼼히 작성하면 멋진 스터디 팀원을 만나실 수 있을거예요.개발 스터디 모집 내용 예시    스터디 주제 : DDD의 ... , 조찬민,/studies/258802
19,[충주] 함께 개발 공부하실 분 계신가요?,스터디 모집글을 아래 양식을 참고해 작성해주세요. 꼼꼼히 작성하면 멋진 스터디 팀원을 만나실 수 있을거예요.안녕하세요   혹시 충주에서 함께 개발 공부하실 분 계실까요? ...,jjo,/studies/258440
